[23:11:02] [INFO] received Windows console close event; shutting log-core down
[00:17:19] [INFO] received Windows console close event; shutting log-core down
[00:30:03] [INFO] received Windows console close event; shutting log-core down
[00:33:51] [INFO] received Windows console close event; shutting log-core down
[10:34:05] [INFO] received Windows console close event; shutting log-core down
[10:42:49] [INFO] received Windows console close event; shutting log-core down
[10:54:53] [INFO] received Windows console close event; shutting log-core down
[10:55:59] [INFO] received Windows console close event; shutting log-core down
[10:59:30] [INFO] received Windows console close event; shutting log-core down
[11:06:53] [INFO] received Windows console close event; shutting log-core down
[11:17:22] [INFO] received Windows console close event; shutting log-core down
[11:21:13] [INFO] received Windows console close event; shutting log-core down
[11:21:15] [INFO] received Windows console close event; shutting log-core down
[11:54:28] [INFO] received Windows console close event; shutting log-core down
